composite_tasks,conversation_length_chars_avg,conversation_length_chars_max,conversation_length_chars_min,conversation_length_chars_total,conversation_length_texts,conversation_length_words_avg,conversation_length_words_max,conversation_length_words_min,conversation_length_words_total,conversation_messages_avg,conversation_messages_max,conversation_messages_min,conversation_messages_total,environment,num_steps,num_trajectories,sampling_method,task,tool_call_distribution_json,trajectory_cosine_avg,trajectory_cosine_computed_pairs,trajectory_cosine_exact,trajectory_cosine_max,trajectory_cosine_min,trajectory_cosine_num_items,trajectory_cosine_num_pairs
LineUpCondiments,499.3666666666667,822,351,14981.0,30,88.56666666666666,148,59,2657.0,5.133333333333334,8,4,154.0,line_up_condiments,426,30,base,line_up_condiments,"{""communicate"":{""count"":154,""fraction"":0.3615023474178404},""give_space"":{""count"":44,""fraction"":0.10328638497652583},""navigate_to_fixture"":{""count"":108,""fraction"":0.2535211267605634},""pick_up_object"":{""count"":60,""fraction"":0.14084507042253522},""place_next_to"":{""count"":47,""fraction"":0.11032863849765258},""place_on_surface"":{""count"":13,""fraction"":0.03051643192488263}}",,,,,,,
MatchCupAndDrink,545.4666666666667,864,376,16364.0,30,89.96666666666667,147,63,2699.0,5.333333333333333,8,4,160.0,match_cup_and_drink,442,30,base,match_cup_and_drink,"{""communicate"":{""count"":160,""fraction"":0.36199095022624433},""give_space"":{""count"":53,""fraction"":0.11990950226244344},""navigate_to_fixture"":{""count"":109,""fraction"":0.24660633484162897},""pick_up_object"":{""count"":60,""fraction"":0.13574660633484162},""place_next_to"":{""count"":60,""fraction"":0.13574660633484162}}",,,,,,,
MeatSkewerAssembly,367.56666666666666,507,223,11027.0,30,63.06666666666667,93,38,1892.0,4.1,5,3,123.0,meat_skewer_assembly,292,30,base,meat_skewer_assembly,"{""communicate"":{""count"":123,""fraction"":0.4212328767123288},""give_space"":{""count"":25,""fraction"":0.08561643835616438},""navigate_to_fixture"":{""count"":24,""fraction"":0.0821917808219178},""pick_up_object"":{""count"":60,""fraction"":0.2054794520547945},""place_in_receptacle"":{""count"":60,""fraction"":0.2054794520547945}}",,,,,,,
OrganizeCondiments,582.2666666666667,955,327,17468.0,30,102.63333333333334,180,55,3079.0,6.6,10,4,198.0,organize_condiments,630,30,base,organize_condiments,"{""communicate"":{""count"":198,""fraction"":0.3142857142857143},""give_space"":{""count"":91,""fraction"":0.14444444444444443},""navigate_to_fixture"":{""count"":161,""fraction"":0.25555555555555554},""pick_up_object"":{""count"":90,""fraction"":0.14285714285714285},""place_in_receptacle"":{""count"":90,""fraction"":0.14285714285714285}}",,,,,,,
PlateStoreDinner,531.1333333333333,804,272,15934.0,30,98.96666666666667,159,51,2969.0,5.966666666666667,10,3,179.0,plate_store_dinner,620,30,base,plate_store_dinner,"{""communicate"":{""count"":179,""fraction"":0.2887096774193548},""give_space"":{""count"":49,""fraction"":0.07903225806451612},""navigate_to_fixture"":{""count"":182,""fraction"":0.29354838709677417},""open_hinged_part"":{""count"":30,""fraction"":0.04838709677419355},""pick_up_object"":{""count"":90,""fraction"":0.14516129032258066},""place_in_receptacle"":{""count"":60,""fraction"":0.0967741935483871},""place_on_object"":{""count"":30,""fraction"":0.04838709677419355}}",,,,,,,
PortionHotDogs,407.3,607,275,12219.0,30,67.46666666666667,105,46,2024.0,4.333333333333333,6,3,130.0,portion_hot_dogs,469,30,base,portion_hot_dogs,"{""communicate"":{""count"":130,""fraction"":0.2771855010660981},""give_space"":{""count"":52,""fraction"":0.11087420042643924},""navigate_to_fixture"":{""count"":47,""fraction"":0.10021321961620469},""pick_up_object"":{""count"":120,""fraction"":0.255863539445629},""place_on_object"":{""count"":120,""fraction"":0.255863539445629}}",,,,,,,
PortionYogurt,392.46666666666664,758,267,11774.0,30,66.2,133,43,1986.0,4.566666666666666,10,3,137.0,portion_yogurt,429,30,base,portion_yogurt,"{""communicate"":{""count"":137,""fraction"":0.31934731934731936},""give_space"":{""count"":26,""fraction"":0.06060606060606061},""navigate_to_fixture"":{""count"":26,""fraction"":0.06060606060606061},""pick_up_object"":{""count"":120,""fraction"":0.27972027972027974},""place_on_object"":{""count"":120,""fraction"":0.27972027972027974}}",,,,,,,
PrepareCheeseStation,410.9,559,272,12327.0,30,70.56666666666666,103,46,2117.0,4.733333333333333,6,3,142.0,prepare_cheese_station,437,30,base,prepare_cheese_station,"{""communicate"":{""count"":142,""fraction"":0.32494279176201374},""give_space"":{""count"":30,""fraction"":0.06864988558352403},""navigate_to_fixture"":{""count"":85,""fraction"":0.1945080091533181},""open_hinged_part"":{""count"":60,""fraction"":0.13729977116704806},""pick_up_object"":{""count"":60,""fraction"":0.13729977116704806},""place_next_to"":{""count"":60,""fraction"":0.13729977116704806}}",,,,,,,
PrepareCocktailStation,512.5333333333333,660,327,15376.0,30,89.76666666666667,118,52,2693.0,5.5,8,4,165.0,prepare_cocktail_station,567,30,base,prepare_cocktail_station,"{""communicate"":{""count"":165,""fraction"":0.291005291005291},""give_space"":{""count"":49,""fraction"":0.08641975308641975},""navigate_to_fixture"":{""count"":143,""fraction"":0.25220458553791886},""open_hinged_part"":{""count"":30,""fraction"":0.05291005291005291},""pick_up_object"":{""count"":90,""fraction"":0.15873015873015872},""place_in_receptacle"":{""count"":30,""fraction"":0.05291005291005291},""place_next_to"":{""count"":60,""fraction"":0.10582010582010581}}",,,,,,,
PrepareCoffee,577.0,577,577,577.0,1,99.0,99,99,99.0,6.0,6,6,6.0,prepare_coffee,20,1,base,prepare_coffee,"{""communicate"":{""count"":6,""fraction"":0.3},""give_space"":{""count"":3,""fraction"":0.15},""navigate_to_fixture"":{""count"":5,""fraction"":0.25},""open_hinged_part"":{""count"":1,""fraction"":0.05},""pick_up_object"":{""count"":2,""fraction"":0.1},""place_on_surface"":{""count"":1,""fraction"":0.05},""place_under"":{""count"":1,""fraction"":0.05},""press_button"":{""count"":1,""fraction"":0.05}}",,,,,,,
PrepareDrinkStation,569.7,787,370,17091.0,30,100.63333333333334,145,62,3019.0,5.866666666666666,8,4,176.0,prepare_drink_station,555,30,base,prepare_drink_station,"{""communicate"":{""count"":176,""fraction"":0.3171171171171171},""give_space"":{""count"":45,""fraction"":0.08108108108108109},""navigate_to_fixture"":{""count"":154,""fraction"":0.2774774774774775},""pick_up_object"":{""count"":90,""fraction"":0.16216216216216217},""place_in_receptacle"":{""count"":60,""fraction"":0.10810810810810811},""place_next_to"":{""count"":30,""fraction"":0.05405405405405406}}",,,,,,,
PrepareSausageCheese,529.3666666666667,985,379,15881.0,30,94.4,187,66,2832.0,5.6,10,4,168.0,prepare_sausage_cheese,475,30,base,prepare_sausage_cheese,"{""communicate"":{""count"":168,""fraction"":0.35368421052631577},""give_space"":{""count"":60,""fraction"":0.12631578947368421},""navigate_to_fixture"":{""count"":97,""fraction"":0.20421052631578948},""open_hinged_part"":{""count"":30,""fraction"":0.06315789473684211},""pick_up_object"":{""count"":60,""fraction"":0.12631578947368421},""place_on_object"":{""count"":60,""fraction"":0.12631578947368421}}",,,,,,,
PrepareSoupServing,408.96666666666664,594,256,12269.0,30,75.46666666666667,106,46,2264.0,4.766666666666667,7,3,143.0,prepare_soup_serving,368,30,base,prepare_soup_serving,"{""close_hinged_part"":{""count"":30,""fraction"":0.08152173913043478},""communicate"":{""count"":143,""fraction"":0.38858695652173914},""give_space"":{""count"":21,""fraction"":0.057065217391304345},""navigate_to_fixture"":{""count"":84,""fraction"":0.22826086956521738},""open_hinged_part"":{""count"":30,""fraction"":0.08152173913043478},""pick_up_object"":{""count"":30,""fraction"":0.08152173913043478},""place_in_receptacle"":{""count"":30,""fraction"":0.08152173913043478}}",,,,,,,
SeasoningSteak,332.3,446,225,9969.0,30,56.03333333333333,81,35,1681.0,3.6666666666666665,5,3,110.0,seasoning_steak,246,30,base,seasoning_steak,"{""communicate"":{""count"":110,""fraction"":0.44715447154471544},""give_space"":{""count"":31,""fraction"":0.12601626016260162},""navigate_to_fixture"":{""count"":45,""fraction"":0.18292682926829268},""pick_up_object"":{""count"":30,""fraction"":0.12195121951219512},""place_next_to"":{""count"":30,""fraction"":0.12195121951219512}}",,,,,,,
ServeMealJuice,501.7,744,269,15051.0,30,90.73333333333333,136,44,2722.0,5.6,8,3,168.0,serve_meal_juice,436,30,base,serve_meal_juice,"{""communicate"":{""count"":168,""fraction"":0.3853211009174312},""give_space"":{""count"":52,""fraction"":0.11926605504587157},""navigate_to_fixture"":{""count"":96,""fraction"":0.22018348623853212},""pick_up_object"":{""count"":60,""fraction"":0.13761467889908258},""place_next_to"":{""count"":60,""fraction"":0.13761467889908258}}",,,,,,,
ServeSteak,425.5,528,328,12765.0,30,79.73333333333333,99,57,2392.0,4.5,5,4,135.0,serve_steak,384,30,base,serve_steak,"{""communicate"":{""count"":135,""fraction"":0.3515625},""give_space"":{""count"":55,""fraction"":0.14322916666666666},""navigate_to_fixture"":{""count"":74,""fraction"":0.19270833333333334},""pick_up_object"":{""count"":60,""fraction"":0.15625},""place_on_object"":{""count"":30,""fraction"":0.078125},""place_on_surface"":{""count"":30,""fraction"":0.078125}}",,,,,,,
SetBowlsForSoup,444.0,752,237,13320.0,30,77.36666666666666,128,40,2321.0,5.266666666666667,9,3,158.0,set_bowls_for_soup,465,30,base,set_bowls_for_soup,"{""communicate"":{""count"":158,""fraction"":0.33978494623655914},""give_space"":{""count"":53,""fraction"":0.11397849462365592},""navigate_to_fixture"":{""count"":104,""fraction"":0.22365591397849463},""open_hinged_part"":{""count"":30,""fraction"":0.06451612903225806},""pick_up_object"":{""count"":60,""fraction"":0.12903225806451613},""place_on_object"":{""count"":60,""fraction"":0.12903225806451613}}",,,,,,,
SetUpSpiceStation,489.06666666666666,761,300,14672.0,30,86.36666666666666,142,54,2591.0,5.333333333333333,8,3,160.0,set_up_spice_station,541,30,base,set_up_spice_station,"{""communicate"":{""count"":160,""fraction"":0.2957486136783734},""give_space"":{""count"":41,""fraction"":0.07578558225508318},""navigate_to_fixture"":{""count"":160,""fraction"":0.2957486136783734},""pick_up_object"":{""count"":90,""fraction"":0.16635859519408502},""place_next_to"":{""count"":90,""fraction"":0.16635859519408502}}",,,,,,,
SetupBowls,492.43333333333334,721,270,14773.0,30,86.33333333333333,130,46,2590.0,5.166666666666667,7,3,155.0,setup_bowls,436,30,base,setup_bowls,"{""communicate"":{""count"":155,""fraction"":0.3555045871559633},""give_space"":{""count"":56,""fraction"":0.12844036697247707},""navigate_to_fixture"":{""count"":105,""fraction"":0.2408256880733945},""pick_up_object"":{""count"":60,""fraction"":0.13761467889908258},""place_next_to"":{""count"":60,""fraction"":0.13761467889908258}}",,,,,,,
SetupButterPlate,400.1333333333333,565,231,12004.0,30,67.5,104,39,2025.0,4.333333333333333,6,3,130.0,setup_butter_plate,407,30,base,setup_butter_plate,"{""communicate"":{""count"":130,""fraction"":0.3194103194103194},""give_space"":{""count"":31,""fraction"":0.07616707616707617},""navigate_to_fixture"":{""count"":96,""fraction"":0.23587223587223588},""open_hinged_part"":{""count"":30,""fraction"":0.07371007371007371},""pick_up_object"":{""count"":60,""fraction"":0.14742014742014742},""place_next_to"":{""count"":30,""fraction"":0.07371007371007371},""place_on_object"":{""count"":30,""fraction"":0.07371007371007371}}",,,,,,,
SetupSodaBowl,494.6333333333333,761,315,14839.0,30,86.6,135,54,2598.0,5.466666666666667,8,4,164.0,setup_soda_bowl,450,30,base,setup_soda_bowl,"{""communicate"":{""count"":164,""fraction"":0.36444444444444446},""give_space"":{""count"":43,""fraction"":0.09555555555555556},""navigate_to_fixture"":{""count"":93,""fraction"":0.20666666666666667},""open_hinged_part"":{""count"":30,""fraction"":0.06666666666666667},""pick_up_object"":{""count"":60,""fraction"":0.13333333333333333},""place_in_receptacle"":{""count"":60,""fraction"":0.13333333333333333}}",,,,,,,
SetupWineGlasses,525.3666666666667,809,331,15761.0,30,89.66666666666667,149,53,2690.0,5.4,8,4,162.0,setup_wine_glasses,429,30,base,setup_wine_glasses,"{""communicate"":{""count"":162,""fraction"":0.3776223776223776},""give_space"":{""count"":49,""fraction"":0.11421911421911422},""navigate_to_fixture"":{""count"":98,""fraction"":0.22843822843822845},""pick_up_object"":{""count"":60,""fraction"":0.13986013986013987},""place_next_to"":{""count"":60,""fraction"":0.13986013986013987}}",,,,,,,
SpicyMarinade,529.7333333333333,787,357,15892.0,30,93.3,148,63,2799.0,5.8,9,4,174.0,spicy_marinade,607,30,base,spicy_marinade,"{""communicate"":{""count"":174,""fraction"":0.28665568369028005},""give_space"":{""count"":49,""fraction"":0.08072487644151564},""navigate_to_fixture"":{""count"":114,""fraction"":0.18780889621087316},""open_hinged_part"":{""count"":30,""fraction"":0.04942339373970346},""pick_up_object"":{""count"":120,""fraction"":0.19769357495881384},""place_on_object"":{""count"":60,""fraction"":0.09884678747940692},""place_on_surface"":{""count"":60,""fraction"":0.09884678747940692}}",,,,,,,
SweetenCoffee,373.43333333333334,492,234,11203.0,30,68.36666666666666,91,40,2051.0,3.8666666666666667,6,3,116.0,sweeten_coffee,315,30,base,sweeten_coffee,"{""communicate"":{""count"":116,""fraction"":0.3682539682539683},""give_space"":{""count"":30,""fraction"":0.09523809523809523},""navigate_to_fixture"":{""count"":49,""fraction"":0.15555555555555556},""pick_up_object"":{""count"":60,""fraction"":0.19047619047619047},""place_in_receptacle"":{""count"":30,""fraction"":0.09523809523809523},""place_next_to"":{""count"":30,""fraction"":0.09523809523809523}}",,,,,,,
