composite_tasks,conversation_length_chars_avg,conversation_length_chars_max,conversation_length_chars_min,conversation_length_chars_total,conversation_length_texts,conversation_length_words_avg,conversation_length_words_max,conversation_length_words_min,conversation_length_words_total,conversation_messages_avg,conversation_messages_max,conversation_messages_min,conversation_messages_total,environment,num_steps,num_trajectories,sampling_method,task,tool_call_distribution_json,trajectory_cosine_avg,trajectory_cosine_computed_pairs,trajectory_cosine_exact,trajectory_cosine_max,trajectory_cosine_min,trajectory_cosine_num_items,trajectory_cosine_num_pairs
CheeseMixing,490.4533333333333,1516,167,73568.0,150,93.86666666666666,297,31,14080.0,5.0,8,3,750.0,cheese_mixing,2146,150,,cheese_mixing,"{""communicate"":{""count"":750,""fraction"":0.3494874184529357},""give_space"":{""count"":267,""fraction"":0.1244175209692451},""navigate_to_fixture"":{""count"":529,""fraction"":0.24650512581547065},""pick_up_object"":{""count"":300,""fraction"":0.13979496738117428},""place_in_receptacle"":{""count"":300,""fraction"":0.13979496738117428}}",,,,,,,
ClusterItemsForClearing,358.26,994,147,53739.0,150,62.56,170,24,9384.0,3.7466666666666666,6,3,562.0,cluster_items_for_clearing,1536,150,,cluster_items_for_clearing,"{""communicate"":{""count"":562,""fraction"":0.3658854166666667},""give_space"":{""count"":144,""fraction"":0.09375},""navigate_to_fixture"":{""count"":230,""fraction"":0.14973958333333334},""pick_up_object"":{""count"":300,""fraction"":0.1953125},""place_next_to"":{""count"":300,""fraction"":0.1953125}}",,,,,,,
ColorfulSalsa,412.0133333333333,1531,116,61802.0,150,73.29333333333334,264,21,10994.0,4.1866666666666665,7,2,628.0,colorful_salsa,2164,150,,colorful_salsa,"{""communicate"":{""count"":628,""fraction"":0.2902033271719039},""give_space"":{""count"":169,""fraction"":0.07809611829944547},""navigate_to_fixture"":{""count"":167,""fraction"":0.07717190388170056},""pick_up_object"":{""count"":600,""fraction"":0.27726432532347506},""place_on_object"":{""count"":600,""fraction"":0.27726432532347506}}",,,,,,,
CondimentCollection,482.4,1137,183,72360.0,150,86.32666666666667,205,32,12949.0,5.306666666666667,9,3,796.0,condiment_collection,2209,150,,condiment_collection,"{""communicate"":{""count"":796,""fraction"":0.36034404708012674},""give_space"":{""count"":296,""fraction"":0.1339972838388411},""navigate_to_fixture"":{""count"":517,""fraction"":0.23404255319148937},""pick_up_object"":{""count"":300,""fraction"":0.13580805794477138},""place_in_receptacle"":{""count"":300,""fraction"":0.13580805794477138}}",,,,,,,
CutBuffetPizza,360.70666666666665,709,201,54106.0,150,62.16,125,38,9324.0,3.82,7,3,573.0,cut_buffet_pizza,1434,150,,cut_buffet_pizza,"{""communicate"":{""count"":573,""fraction"":0.399581589958159},""give_space"":{""count"":174,""fraction"":0.12133891213389121},""navigate_to_fixture"":{""count"":237,""fraction"":0.16527196652719664},""open_sliding_part"":{""count"":150,""fraction"":0.10460251046025104},""pick_up_object"":{""count"":150,""fraction"":0.10460251046025104},""place_on_surface"":{""count"":150,""fraction"":0.10460251046025104}}",,,,,,,
DateNight,448.8333333333333,965,185,67325.0,150,81.47333333333333,174,34,12221.0,4.64,9,3,696.0,date_night,2106,150,,date_night,"{""communicate"":{""count"":696,""fraction"":0.33048433048433046},""give_space"":{""count"":183,""fraction"":0.0868945868945869},""navigate_to_fixture"":{""count"":477,""fraction"":0.2264957264957265},""open_hinged_part"":{""count"":150,""fraction"":0.07122507122507123},""pick_up_object"":{""count"":300,""fraction"":0.14245014245014245},""place_on_surface"":{""count"":300,""fraction"":0.14245014245014245}}",,,,,,,
DeliverStraw,370.7266666666667,838,154,55609.0,150,65.48,152,29,9822.0,3.8266666666666667,7,3,574.0,deliver_straw,1423,150,,deliver_straw,"{""communicate"":{""count"":574,""fraction"":0.4033731553056922},""give_space"":{""count"":164,""fraction"":0.11524947294448348},""navigate_to_fixture"":{""count"":235,""fraction"":0.1651440618411806},""open_sliding_part"":{""count"":150,""fraction"":0.10541110330288124},""pick_up_object"":{""count"":150,""fraction"":0.10541110330288124},""place_in_receptacle"":{""count"":150,""fraction"":0.10541110330288124}}",,,,,,,
DessertAssembly,359.1066666666667,811,154,53866.0,150,64.52666666666667,148,28,9679.0,3.66,5,2,549.0,dessert_assembly,1432,150,,dessert_assembly,"{""communicate"":{""count"":549,""fraction"":0.38337988826815644},""give_space"":{""count"":142,""fraction"":0.09916201117318436},""navigate_to_fixture"":{""count"":141,""fraction"":0.09846368715083799},""pick_up_object"":{""count"":300,""fraction"":0.20949720670391062},""place_in_receptacle"":{""count"":300,""fraction"":0.20949720670391062}}",,,,,,,
DisplayMeatVariety,566.5066666666667,1386,214,84976.0,150,103.16666666666667,253,36,15475.0,5.946666666666666,10,3,892.0,display_meat_variety,2874,150,,display_meat_variety,"{""communicate"":{""count"":892,""fraction"":0.3103688239387613},""give_space"":{""count"":297,""fraction"":0.10334029227557412},""navigate_to_fixture"":{""count"":785,""fraction"":0.2731384829505915},""pick_up_object"":{""count"":450,""fraction"":0.15657620041753653},""place_in_receptacle"":{""count"":450,""fraction"":0.15657620041753653}}",,,,,,,
DistributeChicken,549.3,1589,219,82395.0,150,92.30666666666667,272,35,13846.0,5.34,8,3,801.0,distribute_chicken,2213,150,,distribute_chicken,"{""communicate"":{""count"":801,""fraction"":0.36195210122006327},""give_space"":{""count"":287,""fraction"":0.1296882060551288},""navigate_to_fixture"":{""count"":525,""fraction"":0.23723452327157704},""pick_up_object"":{""count"":300,""fraction"":0.13556258472661545},""place_on_object"":{""count"":300,""fraction"":0.13556258472661545}}",,,,,,,
GarnishCake,345.14666666666665,892,157,51772.0,150,59.81333333333333,153,29,8972.0,3.4066666666666667,5,2,511.0,garnish_cake,1380,150,,garnish_cake,"{""communicate"":{""count"":511,""fraction"":0.37028985507246376},""give_space"":{""count"":132,""fraction"":0.09565217391304348},""navigate_to_fixture"":{""count"":137,""fraction"":0.09927536231884058},""pick_up_object"":{""count"":300,""fraction"":0.21739130434782608},""place_on_object"":{""count"":300,""fraction"":0.21739130434782608}}",,,,,,,
GarnishCupcake,385.1333333333333,961,148,57770.0,150,63.806666666666665,170,26,9571.0,3.9,6,3,585.0,garnish_cupcake,1798,150,,garnish_cupcake,"{""communicate"":{""count"":585,""fraction"":0.3253615127919911},""give_space"":{""count"":206,""fraction"":0.11457174638487208},""navigate_to_fixture"":{""count"":257,""fraction"":0.14293659621802002},""open_hinged_part"":{""count"":150,""fraction"":0.08342602892102335},""pick_up_object"":{""count"":300,""fraction"":0.1668520578420467},""place_next_to"":{""count"":150,""fraction"":0.08342602892102335},""place_on_object"":{""count"":150,""fraction"":0.08342602892102335}}",,,,,,,
GarnishPancake,384.3,918,237,57645.0,150,64.98666666666666,151,36,9748.0,3.9133333333333336,7,3,587.0,garnish_pancake,1406,150,,garnish_pancake,"{""communicate"":{""count"":587,""fraction"":0.4174964438122333},""give_space"":{""count"":154,""fraction"":0.10953058321479374},""navigate_to_fixture"":{""count"":215,""fraction"":0.15291607396870555},""open_hinged_part"":{""count"":150,""fraction"":0.10668563300142248},""pick_up_object"":{""count"":150,""fraction"":0.10668563300142248},""place_on_object"":{""count"":150,""fraction"":0.10668563300142248}}",,,,,,,
GatherMarinadeIngredients,568.3333333333334,1340,240,85250.0,150,102.02,257,45,15303.0,5.746666666666667,10,3,862.0,gather_marinade_ingredients,2701,150,,gather_marinade_ingredients,"{""communicate"":{""count"":862,""fraction"":0.31914105886708627},""give_space"":{""count"":223,""fraction"":0.08256201406886339},""navigate_to_fixture"":{""count"":716,""fraction"":0.2650870048130322},""pick_up_object"":{""count"":450,""fraction"":0.16660496112550907},""place_in_receptacle"":{""count"":150,""fraction"":0.055534987041836355},""place_next_to"":{""count"":300,""fraction"":0.11106997408367271}}",,,,,,,
HotDogSetup,469.70666666666665,1020,212,70456.0,150,78.41333333333333,171,38,11762.0,5.033333333333333,10,3,755.0,hot_dog_setup,2866,150,,hot_dog_setup,"{""communicate"":{""count"":755,""fraction"":0.26343335659455686},""give_space"":{""count"":204,""fraction"":0.07117934403349616},""navigate_to_fixture"":{""count"":707,""fraction"":0.24668527564549894},""open_hinged_part"":{""count"":300,""fraction"":0.104675505931612},""pick_up_object"":{""count"":450,""fraction"":0.15701325889741802},""place_next_to"":{""count"":150,""fraction"":0.052337752965806},""place_on_object"":{""count"":300,""fraction"":0.104675505931612}}",,,,,,,
LemonSeasoningFish,347.3666666666667,922,174,52105.0,150,63.446666666666665,172,32,9517.0,3.8266666666666667,7,3,574.0,lemon_seasoning_fish,1410,150,,lemon_seasoning_fish,"{""communicate"":{""count"":574,""fraction"":0.40709219858156026},""give_space"":{""count"":147,""fraction"":0.10425531914893617},""navigate_to_fixture"":{""count"":239,""fraction"":0.16950354609929077},""open_hinged_part"":{""count"":150,""fraction"":0.10638297872340426},""pick_up_object"":{""count"":150,""fraction"":0.10638297872340426},""place_on_object"":{""count"":150,""fraction"":0.10638297872340426}}",,,,,,,
LineUpCondiments,474.58,916,199,71187.0,150,84.89333333333333,165,35,12734.0,4.786666666666667,8,3,718.0,line_up_condiments,2036,150,,line_up_condiments,"{""communicate"":{""count"":718,""fraction"":0.3526522593320236},""give_space"":{""count"":187,""fraction"":0.09184675834970531},""navigate_to_fixture"":{""count"":531,""fraction"":0.26080550098231825},""pick_up_object"":{""count"":300,""fraction"":0.14734774066797643},""place_next_to"":{""count"":219,""fraction"":0.1075638506876228},""place_on_surface"":{""count"":81,""fraction"":0.039783889980353634}}",,,,,,,
MatchCupAndDrink,528.8333333333334,1137,114,79325.0,150,88.93333333333334,199,16,13340.0,5.02,8,2,753.0,match_cup_and_drink,2112,150,,match_cup_and_drink,"{""communicate"":{""count"":753,""fraction"":0.3565340909090909},""give_space"":{""count"":247,""fraction"":0.11695075757575757},""navigate_to_fixture"":{""count"":512,""fraction"":0.24242424242424243},""pick_up_object"":{""count"":300,""fraction"":0.14204545454545456},""place_next_to"":{""count"":300,""fraction"":0.14204545454545456}}",,,,,,,
MeatSkewerAssembly,366.22,1034,137,54933.0,150,63.406666666666666,175,25,9511.0,3.9,6,3,585.0,meat_skewer_assembly,1455,150,,meat_skewer_assembly,"{""communicate"":{""count"":585,""fraction"":0.4020618556701031},""give_space"":{""count"":132,""fraction"":0.09072164948453608},""navigate_to_fixture"":{""count"":138,""fraction"":0.09484536082474226},""pick_up_object"":{""count"":300,""fraction"":0.20618556701030927},""place_in_receptacle"":{""count"":300,""fraction"":0.20618556701030927}}",,,,,,,
OrganizeCondiments,560.5533333333333,1585,180,84083.0,150,98.74,279,30,14811.0,6.133333333333334,10,3,920.0,organize_condiments,3026,150,,organize_condiments,"{""communicate"":{""count"":920,""fraction"":0.3040317250495704},""give_space"":{""count"":419,""fraction"":0.1384666226040978},""navigate_to_fixture"":{""count"":787,""fraction"":0.260079312623926},""pick_up_object"":{""count"":450,""fraction"":0.14871116986120292},""place_in_receptacle"":{""count"":450,""fraction"":0.14871116986120292}}",,,,,,,
PlateStoreDinner,555.2,1513,226,83280.0,150,104.42,299,42,15663.0,5.753333333333333,12,3,863.0,plate_store_dinner,3100,150,,plate_store_dinner,"{""communicate"":{""count"":863,""fraction"":0.27838709677419354},""give_space"":{""count"":259,""fraction"":0.08354838709677419},""navigate_to_fixture"":{""count"":928,""fraction"":0.29935483870967744},""open_hinged_part"":{""count"":150,""fraction"":0.04838709677419355},""pick_up_object"":{""count"":450,""fraction"":0.14516129032258066},""place_in_receptacle"":{""count"":300,""fraction"":0.0967741935483871},""place_on_object"":{""count"":150,""fraction"":0.04838709677419355}}",,,,,,,
PortionHotDogs,412.58666666666664,853,209,61888.0,150,70.31333333333333,149,37,10547.0,4.266666666666667,7,3,640.0,portion_hot_dogs,2251,150,,portion_hot_dogs,"{""communicate"":{""count"":640,""fraction"":0.28431808085295424},""give_space"":{""count"":217,""fraction"":0.0964015992892048},""navigate_to_fixture"":{""count"":194,""fraction"":0.08618391825855176},""pick_up_object"":{""count"":600,""fraction"":0.2665482007996446},""place_on_object"":{""count"":600,""fraction"":0.2665482007996446}}",,,,,,,
PortionYogurt,388.5733333333333,1287,83,58286.0,150,65.76666666666667,240,14,9865.0,4.266666666666667,10,2,640.0,portion_yogurt,2061,150,,portion_yogurt,"{""communicate"":{""count"":640,""fraction"":0.3105288694808345},""give_space"":{""count"":111,""fraction"":0.053857350800582245},""navigate_to_fixture"":{""count"":110,""fraction"":0.053372149442018436},""pick_up_object"":{""count"":600,""fraction"":0.29112081513828236},""place_on_object"":{""count"":600,""fraction"":0.29112081513828236}}",,,,,,,
PrepareCheeseStation,414.32,962,170,62148.0,150,73.64,190,32,11046.0,4.566666666666666,6,3,685.0,prepare_cheese_station,2163,150,,prepare_cheese_station,"{""communicate"":{""count"":685,""fraction"":0.3166897827092002},""give_space"":{""count"":153,""fraction"":0.07073509015256588},""navigate_to_fixture"":{""count"":425,""fraction"":0.19648636153490523},""open_hinged_part"":{""count"":300,""fraction"":0.13869625520110956},""pick_up_object"":{""count"":300,""fraction"":0.13869625520110956},""place_next_to"":{""count"":300,""fraction"":0.13869625520110956}}",,,,,,,
PrepareCocktailStation,497.8933333333333,1638,172,74684.0,150,88.38,306,33,13257.0,5.14,9,3,771.0,prepare_cocktail_station,2774,150,,prepare_cocktail_station,"{""communicate"":{""count"":771,""fraction"":0.2779379956741168},""give_space"":{""count"":243,""fraction"":0.08759913482335976},""navigate_to_fixture"":{""count"":710,""fraction"":0.25594808940158614},""open_hinged_part"":{""count"":150,""fraction"":0.05407354001441961},""pick_up_object"":{""count"":450,""fraction"":0.16222062004325882},""place_in_receptacle"":{""count"":150,""fraction"":0.05407354001441961},""place_next_to"":{""count"":300,""fraction"":0.10814708002883922}}",,,,,,,
PrepareCoffee,455.14285714285717,750,251,28674.0,63,77.84126984126983,134,40,4904.0,5.174603174603175,8,3,326.0,prepare_coffee,1085,63,,prepare_coffee,"{""communicate"":{""count"":326,""fraction"":0.30046082949308756},""give_space"":{""count"":127,""fraction"":0.11705069124423963},""navigate_to_fixture"":{""count"":254,""fraction"":0.23410138248847925},""open_hinged_part"":{""count"":63,""fraction"":0.05806451612903226},""pick_up_object"":{""count"":126,""fraction"":0.11612903225806452},""place_on_surface"":{""count"":63,""fraction"":0.05806451612903226},""place_under"":{""count"":63,""fraction"":0.05806451612903226},""press_button"":{""count"":63,""fraction"":0.05806451612903226}}",,,,,,,
PrepareDrinkStation,586.48,1148,253,87972.0,150,106.29333333333334,208,48,15944.0,5.68,11,3,852.0,prepare_drink_station,2747,150,,prepare_drink_station,"{""communicate"":{""count"":852,""fraction"":0.3101565344011649},""give_space"":{""count"":219,""fraction"":0.07972333454677831},""navigate_to_fixture"":{""count"":776,""fraction"":0.28248998907899525},""pick_up_object"":{""count"":450,""fraction"":0.16381507098653075},""place_in_receptacle"":{""count"":300,""fraction"":0.10921004732435384},""place_next_to"":{""count"":150,""fraction"":0.05460502366217692}}",,,,,,,
PrepareSausageCheese,508.76666666666665,1271,260,76315.0,150,92.24,231,49,13836.0,5.273333333333333,10,4,791.0,prepare_sausage_cheese,2308,150,,prepare_sausage_cheese,"{""communicate"":{""count"":791,""fraction"":0.3427209705372617},""give_space"":{""count"":282,""fraction"":0.12218370883882149},""navigate_to_fixture"":{""count"":485,""fraction"":0.21013864818024264},""open_hinged_part"":{""count"":150,""fraction"":0.06499133448873484},""pick_up_object"":{""count"":300,""fraction"":0.12998266897746968},""place_on_object"":{""count"":300,""fraction"":0.12998266897746968}}",,,,,,,
PrepareSoupServing,464.00666666666666,1364,230,69601.0,150,87.42666666666666,261,41,13114.0,4.84,9,3,726.0,prepare_soup_serving,1899,150,,prepare_soup_serving,"{""close_hinged_part"":{""count"":150,""fraction"":0.07898894154818326},""communicate"":{""count"":726,""fraction"":0.382306477093207},""give_space"":{""count"":140,""fraction"":0.0737230121116377},""navigate_to_fixture"":{""count"":433,""fraction"":0.22801474460242233},""open_hinged_part"":{""count"":150,""fraction"":0.07898894154818326},""pick_up_object"":{""count"":150,""fraction"":0.07898894154818326},""place_in_receptacle"":{""count"":150,""fraction"":0.07898894154818326}}",,,,,,,
SeasoningSteak,381.2733333333333,1203,138,57191.0,150,65.99333333333334,203,26,9899.0,3.7533333333333334,6,3,563.0,seasoning_steak,1259,150,,seasoning_steak,"{""communicate"":{""count"":563,""fraction"":0.4471803018268467},""give_space"":{""count"":163,""fraction"":0.12946783161239078},""navigate_to_fixture"":{""count"":233,""fraction"":0.18506751389992057},""pick_up_object"":{""count"":150,""fraction"":0.11914217633042097},""place_next_to"":{""count"":150,""fraction"":0.11914217633042097}}",,,,,,,
ServeMealJuice,501.1066666666667,1088,204,75166.0,150,90.61333333333333,199,35,13592.0,5.193333333333333,8,3,779.0,serve_meal_juice,2103,150,,serve_meal_juice,"{""communicate"":{""count"":779,""fraction"":0.3704232049453162},""give_space"":{""count"":255,""fraction"":0.12125534950071326},""navigate_to_fixture"":{""count"":469,""fraction"":0.2230147408464099},""pick_up_object"":{""count"":300,""fraction"":0.14265335235378032},""place_next_to"":{""count"":300,""fraction"":0.14265335235378032}}",,,,,,,
ServeSteak,438.85333333333335,996,239,65828.0,150,82.90666666666667,190,43,12436.0,4.446666666666666,8,3,667.0,serve_steak,1915,150,,serve_steak,"{""communicate"":{""count"":667,""fraction"":0.3483028720626632},""give_space"":{""count"":274,""fraction"":0.14308093994778068},""navigate_to_fixture"":{""count"":374,""fraction"":0.19530026109660575},""pick_up_object"":{""count"":300,""fraction"":0.1566579634464752},""place_on_object"":{""count"":150,""fraction"":0.0783289817232376},""place_on_surface"":{""count"":150,""fraction"":0.0783289817232376}}",,,,,,,
SetBowlsForSoup,484.93333333333334,1293,220,72740.0,150,86.63333333333334,232,40,12995.0,5.18,9,3,777.0,set_bowls_for_soup,2286,150,,set_bowls_for_soup,"{""communicate"":{""count"":777,""fraction"":0.33989501312335957},""give_space"":{""count"":251,""fraction"":0.10979877515310586},""navigate_to_fixture"":{""count"":508,""fraction"":0.2222222222222222},""open_hinged_part"":{""count"":150,""fraction"":0.06561679790026247},""pick_up_object"":{""count"":300,""fraction"":0.13123359580052493},""place_on_object"":{""count"":300,""fraction"":0.13123359580052493}}",,,,,,,
SetUpSpiceStation,510.94,1297,137,76641.0,150,92.16,239,26,13824.0,5.3533333333333335,10,3,803.0,set_up_spice_station,2759,150,,set_up_spice_station,"{""communicate"":{""count"":803,""fraction"":0.29104748097136646},""give_space"":{""count"":236,""fraction"":0.08553823849220732},""navigate_to_fixture"":{""count"":820,""fraction"":0.2972091337441102},""pick_up_object"":{""count"":450,""fraction"":0.16310257339615802},""place_next_to"":{""count"":450,""fraction"":0.16310257339615802}}",,,,,,,
SetupBowls,481.9066666666667,1158,183,72286.0,150,85.16666666666667,196,33,12775.0,5.053333333333334,9,3,758.0,setup_bowls,2123,150,,setup_bowls,"{""communicate"":{""count"":758,""fraction"":0.3570419218087612},""give_space"":{""count"":259,""fraction"":0.12199717381064532},""navigate_to_fixture"":{""count"":506,""fraction"":0.23834196891191708},""pick_up_object"":{""count"":300,""fraction"":0.1413094677343382},""place_next_to"":{""count"":300,""fraction"":0.1413094677343382}}",,,,,,,
SetupButterPlate,422.53333333333336,907,137,63380.0,150,73.37333333333333,153,26,11006.0,4.44,7,3,666.0,setup_butter_plate,2043,150,,setup_butter_plate,"{""communicate"":{""count"":666,""fraction"":0.32599118942731276},""give_space"":{""count"":148,""fraction"":0.07244248653940284},""navigate_to_fixture"":{""count"":479,""fraction"":0.2344591287322565},""open_hinged_part"":{""count"":150,""fraction"":0.07342143906020558},""pick_up_object"":{""count"":300,""fraction"":0.14684287812041116},""place_next_to"":{""count"":150,""fraction"":0.07342143906020558},""place_on_object"":{""count"":150,""fraction"":0.07342143906020558}}",,,,,,,
SetupSodaBowl,504.6,1164,217,75690.0,150,89.71333333333334,214,38,13457.0,5.34,8,3,801.0,setup_soda_bowl,2280,150,,setup_soda_bowl,"{""communicate"":{""count"":801,""fraction"":0.3513157894736842},""give_space"":{""count"":251,""fraction"":0.11008771929824561},""navigate_to_fixture"":{""count"":478,""fraction"":0.20964912280701756},""open_hinged_part"":{""count"":150,""fraction"":0.06578947368421052},""pick_up_object"":{""count"":300,""fraction"":0.13157894736842105},""place_in_receptacle"":{""count"":300,""fraction"":0.13157894736842105}}",,,,,,,
SetupWineGlasses,498.6533333333333,1140,246,74798.0,150,85.5,197,44,12825.0,4.946666666666666,8,3,742.0,setup_wine_glasses,2068,150,,setup_wine_glasses,"{""communicate"":{""count"":742,""fraction"":0.35880077369439073},""give_space"":{""count"":248,""fraction"":0.11992263056092843},""navigate_to_fixture"":{""count"":478,""fraction"":0.2311411992263056},""pick_up_object"":{""count"":300,""fraction"":0.1450676982591876},""place_next_to"":{""count"":300,""fraction"":0.1450676982591876}}",,,,,,,
SpicyMarinade,533.3133333333334,1557,235,79997.0,150,95.44,289,41,14316.0,5.44,10,3,816.0,spicy_marinade,2980,150,,spicy_marinade,"{""communicate"":{""count"":816,""fraction"":0.2738255033557047},""give_space"":{""count"":246,""fraction"":0.0825503355704698},""navigate_to_fixture"":{""count"":568,""fraction"":0.1906040268456376},""open_hinged_part"":{""count"":150,""fraction"":0.050335570469798654},""pick_up_object"":{""count"":600,""fraction"":0.20134228187919462},""place_on_object"":{""count"":300,""fraction"":0.10067114093959731},""place_on_surface"":{""count"":300,""fraction"":0.10067114093959731}}",,,,,,,
SweetenCoffee,379.56666666666666,880,188,56935.0,150,71.11333333333333,170,37,10667.0,3.8466666666666667,6,3,577.0,sweeten_coffee,1578,150,,sweeten_coffee,"{""communicate"":{""count"":577,""fraction"":0.3656527249683143},""give_space"":{""count"":151,""fraction"":0.09569074778200254},""navigate_to_fixture"":{""count"":250,""fraction"":0.15842839036755388},""pick_up_object"":{""count"":300,""fraction"":0.19011406844106463},""place_in_receptacle"":{""count"":150,""fraction"":0.09505703422053231},""place_next_to"":{""count"":150,""fraction"":0.09505703422053231}}",,,,,,,
